Date,First Name,Surname,Product,Promotion,Customer ID
2021-02-03,Bernadette,Martinez,small-ticket,Return custom,36016
2021-11-17,Sandra,Piccinone,big-ticket,,99493
2022-05-15,Priscilla,Woodward,big-ticket,Repeat return custom,94767
2021-04-15,Wanda,Browne,big-ticket,Repeat return custom,72033
2021-05-07,Jean,Marroquin,big-ticket,,11061
2021-03-30,Holly,Olin,small-ticket,,56105
2021-05-30,Oscar,Goslee,small-ticket,,10074
2021-02-11,Tammy,Sexton,big-ticket,,54667
2023-02-27,Jerald,Harrell,small-ticket,Repeat return custom,88807
2022-12-25,James,Longsworth,small-ticket,Repeat return custom,88799
2022-06-18,Jeffrey,Partridge,small-ticket,,11259
2021-04-01,James,Austin,big-ticket,,35001
2022-07-18,Megan,Muldoon,big-ticket,Return custom,25888
2022-05-04,Mary,Barber,small-ticket,,89755
2021-09-25,Wilma,Larson,small-ticket,,08156
2021-05-15,David,Felix,big-ticket,Repeat return custom,64715
2022-04-07,Oliver,Jessup,small-ticket,Repeat return custom,98833
2021-05-30,Daniel,Flowers,big-ticket,,63700
2022-02-08,Michael,Murphy,small-ticket,Repeat return custom,84946
2022-01-30,Tanisha,Drayton,big-ticket,,97297
2021-05-29,Ashley,Mitchell,big-ticket,Repeat return custom,13169
2022-03-26,Thomas,Mills,big-ticket,Return custom,04936
2022-04-18,Craig,Bernhart,small-ticket,,28327
2022-10-10,Nickie,Jolissaint,big-ticket,,02766
2021-09-27,Jess,Kibler,big-ticket,Repeat return custom,08826
2021-03-31,Alexis,Davis,small-ticket,,96365
2022-06-01,Warren,Marquez,big-ticket,Return custom,70481
2022-10-15,Pamela,Johnson,small-ticket,,26148
2021-12-30,Ann,Armstrong,big-ticket,Repeat return custom,46731
2022-08-13,Phillip,Wallick,small-ticket,,45788
2021-12-12,Cynthia,Hildebrant,small-ticket,Repeat return custom,12936
2022-03-12,Betty,Wells,big-ticket,Repeat return custom,72072
2022-09-07,Gina,Raya,big-ticket,Repeat return custom,56737
2021-04-22,Norman,Emig,big-ticket,,96799
2023-02-18,Issac,Pinkard,small-ticket,Repeat return custom,02688
2023-01-20,Gary,Hoskins,big-ticket,,29504
2022-05-12,Sonya,Fuentes,small-ticket,Repeat return custom,87697
2021-04-02,Arthur,Record,big-ticket,Repeat return custom,96913
2022-03-12,Cherry,Jewell,small-ticket,Return custom,66932
2022-12-12,Arthur,Rice,small-ticket,Repeat return custom,34914
2021-03-25,Stephanie,Coates,big-ticket,Return custom,22244
2021-06-17,Margaret,Overby,big-ticket,Repeat return custom,02835
2022-10-31,Lucile,Chun,small-ticket,,11562
2021-06-13,Betty,Nicholson,big-ticket,Repeat return custom,67946
2022-12-10,David,Hatfield,big-ticket,,84741
2021-11-08,Earlean,Harter,small-ticket,Repeat return custom,69639
